Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
63,0.42528,0.227992,0.09994,0.0649864,0.5351128,0.625066667,0.6338008,0.1879104,0.0805672,0.1092192,0.0701768,0.0176704,0.2705264,0.3198096,0.0524176,0.2421072,0.2994992,0.5276496,0.6074344,0.2618496,0.0968488,0.3770408,0,0.297657398,0.2955872,0.0919352,0.2963872,0.1861968,0.064933144,0.087721
64,0.4520344,0.2092096,0.0966872,0.06812,0.538388,0.6076,0.63138,0.1712048,0.0879656,0.1051312,0.071536,0.0310728,0.3052056,0.310884,0.0564832,0.231456,0.2744344,0.5272152,0.6308832,0.2325904,0.1154,0.3969032,0,0.278577248,0.2903368,0.0803488,0.266492,0.1554072,0.057582612,0.08942
65,0.4883008,0.2059672,0.102416,0.0775664,0.540944,0.582533333,0.6241616,0.1529096,0.0914584,0.1085424,0.0725584,0.0494272,0.3474904,0.3051032,0.0585608,0.2374024,0.2557528,0.5266944,0.6453384,0.1927824,0.1386696,0.4153272,0,0.263277465,0.2830744,0.0748632,0.2676872,0.127768,0.051188849,0.090698
66,0.5255144,0.2126376,0.1136416,0.085424,0.553088,0.5772,0.6209848,0.1424352,0.0944088,0.1153784,0.072752,0.0669624,0.392016,0.3028336,0.060692,0.2521416,0.2461704,0.5237992,0.6560032,0.1682968,0.1639864,0.4299608,0,0.252088949,0.2841464,0.0684288,0.2887984,0.1073216,0.046107378,0.09094
67,0.541476,0.221324,0.1287344,0.0880672,0.5606984,0.536266667,0.6203528,0.1472584,0.096612,0.120556,0.0738792,0.0784584,0.4174152,0.2978648,0.0617184,0.271192,0.2401184,0.5161816,0.6631744,0.1764752,0.1948472,0.4428848,0.120412058,0.245294102,0.299972,0.060332,0.3293608,0.10472,0.043082955,0.092349
68,0.5603632,0.2270912,0.1460776,0.0907136,0.5747216,0.5028,0.6145304,0.1507256,0.0955208,0.1236824,0.0765072,0.084968,0.4366256,0.28796,0.0629112,0.2879504,0.2294056,0.50254,0.668512,0.1859856,0.2261992,0.4551544,0.160108714,0.243097513,0.3195552,0.0532672,0.3694848,0.1177688,0.04102258,0.095634
69,0.5690064,0.2333632,0.1649088,0.0908088,0.5768512,0.4904,0.5954976,0.152068,0.0929416,0.1257848,0.0801432,0.0905264,0.447228,0.281652,0.065784,0.2933568,0.2173576,0.4831808,0.670172,0.1921032,0.2548248,0.4664128,0.158967769,0.273676429,0.3354912,0.0489752,0.3960768,0.1454296,0.04126959,0.100179
70,0.58396,0.2462056,0.1820152,0.0896776,0.58432,0.479066667,0.5729096,0.15332,0.0915888,0.1292112,0.0832608,0.0963424,0.4622624,0.2846192,0.0692128,0.295996,0.212868,0.4645992,0.6692608,0.1998048,0.2750352,0.473584,0.158634128,0.309125433,0.3463112,0.0460264,0.4200744,0.1913272,0.043900575,0.104076
71,0.5850368,0.2534008,0.2001248,0.0864416,0.576116,0.4808,0.5620312,0.1505296,0.0928936,0.1333848,0.0810832,0.1082408,0.4764168,0.2932912,0.0764888,0.2917192,0.207572,0.440364,0.6628016,0.2128112,0.3018552,0.4749248,0.159102385,0.34848149,0.3590552,0.0407568,0.4611232,0.2507672,0.049075458,0.101354
72,0.5939568,0.2543368,0.2166904,0.0854136,0.5716512,0.474533333,0.5550696,0.1451232,0.093984,0.135724,0.078748,0.1302184,0.4960448,0.3034,0.0859712,0.2854504,0.2034672,0.4131952,0.6522408,0.2241552,0.3306368,0.4740272,0.160369998,0.390771847,0.3759848,0.0375464,0.5035976,0.3039536,0.057171101,0.098435
