Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
PT,RES_Paper_Cardboard,2020,5.4512136,,PJ,,,
RO,RES_Paper_Cardboard,2020,10.08516384,,PJ,,,
RS,RES_Paper_Cardboard,2020,0,,PJ,,,
SE,RES_Paper_Cardboard,2020,16.19119296,,PJ,,,
SI,RES_Paper_Cardboard,2020,0.92612016,,PJ,,,
SK,RES_Paper_Cardboard,2020,3.27240288,,PJ,,,
UA,RES_Paper_Cardboard,2020,0,,PJ,,,
UK,RES_Paper_Cardboard,2020,17.87596128,,PJ,,,
EE,RES_Paper_Cardboard,2020,1.72831104,,PJ,,,
LT,RES_Paper_Cardboard,2020,1.94100048,,PJ,,,
LV,RES_Paper_Cardboard,2020,1.94937408,,PJ,,,
RU,RES_Paper_Cardboard,2020,0,,PJ,,,
BY,RES_Paper_Cardboard,2020,0,,PJ,,,
TR,RES_Paper_Cardboard,2020,15.16630662,,PJ,,,
NONEU_Balkan,RES_Paper_Cardboard,2020,2.010243513,,PJ,,,
AL,RES_Grass,2020,0,,PJ,,,
AT,RES_Grass,2020,13.55183424,,PJ,,,
BA,RES_Grass,2020,0,,PJ,,,
BE,RES_Grass,2020,7.7372064,,PJ,,,
BG,RES_Grass,2020,8.79562944,,PJ,,,
CH,RES_Grass,2020,13.55183424,,PJ,,,
CZ,RES_Grass,2020,12.1249728,,PJ,,,
DE,RES_Grass,2020,64.8786528,,PJ,,,
DK,RES_Grass,2020,7.033824,,PJ,,,
ES,RES_Grass,2020,40.6622016,,PJ,,,
FI,RES_Grass,2020,29.15352576,,PJ,,,
FR,RES_Grass,2020,66.27871872,,PJ,,,
GR,RES_Grass,2020,7.51279392,,PJ,,,
HR,RES_Grass,2020,5.345454545,,PJ,,,
HU,RES_Grass,2020,14.89161024,,PJ,,,
IE,RES_Grass,2020,2.8302768,,PJ,,,
IT,RES_Grass,2020,31.08950208,,PJ,,,
LU,RES_Grass,2020,0.1842192,,PJ,,,
ME,RES_Grass,2020,0,,PJ,,,
MK,RES_Grass,2020,0,,PJ,,,
NL,RES_Grass,2020,5.44284,,PJ,,,
NO,RES_Grass,2020,32.60059781,,PJ,,,
PL,RES_Grass,2020,36.94097376,,PJ,,,
