Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
6822,1,1,1,1,1,0.671914801,0.895114163,0.867266973,1,0.637743335,0.843391522,1,0.943750322,0.728690922,0.899096783,1,1,1,1,0.898811165,0.943750322,1,1,0.943750322,0.728690922,0.867266973,0.867266973,0.867266973,1,0.843391522
6823,1,1,1,1,1,0.671677879,0.894818174,0.867192527,1,0.637745367,0.843229814,1,0.943006154,0.72849171,0.898861803,1,1,1,1,0.89861272,0.943006154,1,1,0.943006154,0.72849171,0.867192527,0.867192527,0.867192527,1,0.843229814
6824,1,1,1,1,1,0.671449467,0.894558428,0.867114412,1,0.637733807,0.843073911,1,0.942368165,0.728285011,0.898602429,1,1,1,1,0.898421477,0.942368165,1,1,0.942368165,0.728285011,0.867114412,0.867114412,0.867114412,1,0.843073911
6825,1,1,1,1,1,0.671230716,0.894297267,0.867006496,1,0.637710648,0.842980521,1,0.941632795,0.728054224,0.898326213,1,1,1,1,0.898227155,0.941632795,1,1,0.941632795,0.728054224,0.867006496,0.867006496,0.867006496,1,0.842980521
6826,1,1,1,1,1,0.671022762,0.894031953,0.866850218,1,0.637688188,0.842896719,1,0.940906375,0.727756894,0.898043256,1,1,1,1,0.89804121,0.940906375,1,1,0.940906375,0.727756894,0.866850218,0.866850218,0.866850218,1,0.842896719
6827,1,1,1,1,1,0.670829256,0.89378655,0.866656481,1,0.637660353,0.842772761,1,0.93979863,0.72741911,0.897758702,1,1,1,1,0.897853961,0.93979863,1,1,0.93979863,0.72741911,0.866656481,0.866656481,0.866656481,1,0.842772761
6828,1,1,1,1,1,0.670643102,0.89356044,0.866394917,1,0.63761331,0.842610247,1,0.938843477,0.727098174,0.89748261,1,1,1,1,0.897654557,0.938843477,1,1,0.938843477,0.727098174,0.866394917,0.866394917,0.866394917,1,0.842610247
6829,1,1,1,1,1,0.67045552,0.893385833,0.866135073,1,0.6375607,0.842529472,1,0.938363874,0.726763195,0.897184614,1,1,1,1,0.897406143,0.938363874,1,1,0.938363874,0.726763195,0.866135073,0.866135073,0.866135073,1,0.842529472
6830,1,1,1,1,1,0.670517756,0.893277908,0.865907876,1,0.637506905,0.84251527,1,0.938262497,0.726413057,0.896832069,1,1,1,1,0.897167917,0.938262497,1,1,0.938262497,0.726413057,0.865907876,0.865907876,0.865907876,1,0.84251527
6831,1,1,1,1,1,0.670408186,0.893196964,0.865672451,1,0.63744531,0.842498461,1,0.937850078,0.726076946,0.896419496,1,1,1,1,0.896959954,0.937850078,1,1,0.937850078,0.726076946,0.865672451,0.865672451,0.865672451,1,0.842498461
